Model,Year,CarCompany,CountryOrigin
Optima,2016,Kia,South Korea
3008,2010,Peugeot,France
Defender,2021,Land Rover,UK
RAV4,2020,Toyota,Japan
Mazda6,2019,Mazda,Japan
Panda,2023,Fiat,Italy
300,2023,Chrysler,USA
Tipo,2021,Fiat,Italy
Tucson,2017,Hyundai,South Korea
Sportage,2020,Kia,South Korea
Accord,2011,Honda,Japan
Captur,2017,Renault,France
Challenger,2017,Dodge,USA
Crosstrek,2012,Subaru,Japan
Discovery,2011,Land Rover,UK
Discovery,2013,Land Rover,UK
Camry,2021,Toyota,Japan
GLE,2019,Mercedes-Benz,Germany
S-Class,2023,Mercedes-Benz,Germany
RDX,2017,Acura,Japan
Model Y,2016,Tesla,USA
Santa Fe,2017,Hyundai,South Korea
Santa Fe,2023,Hyundai,South Korea
Impreza,2013,Subaru,Japan
Corolla,2019,Toyota,Japan
F-150,2015,Ford,USA
ES,2013,Lexus,Japan
GLE,2022,Mercedes-Benz,Germany
F8 Tributo,2022,Ferrari,Italy
Pacifica,2024,Chrysler,USA
Tucson,2023,Hyundai,South Korea
SF90,2015,Ferrari,Italy
Mazda3,2012,Mazda,Japan
RDX,2014,Acura,Japan
Santa Fe,2022,Hyundai,South Korea
Highlander,2016,Toyota,Japan
Model S,2019,Tesla,USA
E-Class,2022,Mercedes-Benz,Germany
Talisman,2019,Renault,France
Civic,2017,Honda,Japan
ILX,2013,Acura,Japan
TLX,2013,Acura,Japan
Sportage,2010,Kia,South Korea
S-Class,2017,Mercedes-Benz,Germany
S60,2024,Volvo,Sweden
3 Series,2017,BMW,Germany
308,2020,Peugeot,France
RDX,2015,Acura,Japan
488 GTB,2022,Ferrari,Italy
Golf,2011,Volkswagen,Germany
Durango,2019,Dodge,USA
Optima,2010,Kia,South Korea
Range Rover,2012,Land Rover,UK
Forester,2020,Subaru,Japan
Atlas,2023,Volkswagen,Germany
Rogue,2015,Nissan,Japan
Mustang,2019,Ford,USA
XF,2015,Jaguar,UK
GLE,2017,Mercedes-Benz,Germany
F8 Tributo,2021,Ferrari,Italy
XC90,2013,Volvo,Sweden
XE,2017,Jaguar,UK
RDX,2019,Acura,Japan
Charger,2021,Dodge,USA
Passat,2023,Volkswagen,Germany
XC60,2019,Volvo,Sweden
F-150,2011,Ford,USA
300,2014,Chrysler,USA
Pacifica,2020,Chrysler,USA
Pilot,2010,Honda,Japan
Roma,2020,Ferrari,Italy
Malibu,2018,Chevrolet,USA
Accord,2022,Honda,Japan
ILX,2014,Acura,Japan
Durango,2010,Dodge,USA
3 Series,2019,BMW,Germany
SF90,2013,Ferrari,Italy
5 Series,2010,BMW,Germany
E-Class,2023,Mercedes-Benz,Germany
RX,2022,Lexus,Japan
Mazda6,2014,Mazda,Japan
Range Rover,2012,Land Rover,UK
208,2018,Peugeot,France
Defender,2010,Land Rover,UK
Escape,2014,Ford,USA
5 Series,2020,BMW,Germany
Golf,2010,Volkswagen,Germany
Challenger,2010,Dodge,USA
Roma,2024,Ferrari,Italy
Pilot,2017,Honda,Japan
500,2023,Fiat,Italy
GLC,2013,Mercedes-Benz,Germany
Mazda3,2021,Mazda,Japan
C-Class,2017,Mercedes-Benz,Germany
Escape,2017,Ford,USA
Rogue,2011,Nissan,Japan
Defender,2013,Land Rover,UK
Clio,2017,Renault,France
Captur,2014,Renault,France
Discovery,2023,Land Rover,UK
3 Series,2017,BMW,Germany
Telluride,2012,Kia,South Korea
F-150,2010,Ford,USA
Atlas,2016,Volkswagen,Germany
Impala,2014,Chevrolet,USA
Tipo,2021,Fiat,Italy
Optima,2014,Kia,South Korea
NX,2017,Lexus,Japan
Durango,2024,Dodge,USA
XC90,2019,Volvo,Sweden
F-Pace,2017,Jaguar,UK
Sorento,2010,Kia,South Korea
Outback,2017,Subaru,Japan
CX-5,2016,Mazda,Japan
F8 Tributo,2023,Ferrari,Italy
Model Y,2015,Tesla,USA
Talisman,2012,Renault,France
Defender,2024,Land Rover,UK
Sportage,2012,Kia,South Korea
Discovery,2023,Land Rover,UK
3008,2023,Peugeot,France
CX-5,2015,Mazda,Japan
208,2022,Peugeot,France
CR-V,2010,Honda,Japan
MDX,2014,Acura,Japan
IS,2013,Lexus,Japan
CX-9,2020,Mazda,Japan
Optima,2023,Kia,South Korea
Pilot,2020,Honda,Japan
Civic,2010,Honda,Japan
508,2023,Peugeot,France
Tahoe,2013,Chevrolet,USA
Challenger,2013,Dodge,USA
Santa Fe,2014,Hyundai,South Korea
Model S,2012,Tesla,USA
CR-V,2011,Honda,Japan
Atlas,2022,Volkswagen,Germany
MDX,2021,Acura,Japan
Challenger,2023,Dodge,USA
RAV4,2010,Toyota,Japan
Atlas,2014,Volkswagen,Germany
X3,2011,BMW,Germany
ILX,2017,Acura,Japan
Pilot,2023,Honda,Japan
Pacifica,2010,Chrysler,USA
Golf,2010,Volkswagen,Germany
TLX,2020,Acura,Japan
Malibu,2018,Chevrolet,USA
500X,2021,Fiat,Italy
